Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
54303139432,"P185 – Gậy selfie gấp gọn kèm remote chụp hình, dùng cho điện thoại","280,0k",1k+,SYLAS STORE,6%,₫16.800,https://shopee.vn/product/1516589545/54303139432,https://s.shopee.vn/BRPPjaNow
42330107927,"Máy tính lặn Suunto Nautic S - Thiết bị lặn dành cho Lặn bình khí, Lặn tự do, Lặn kỹ thuật màn AMOLED - BH 2 Năm","18,7tr",1,Suunto Adventure Việt Nam,10%,₫1.868.900,https://shopee.vn/product/1262268601/42330107927,https://s.shopee.vn/17zDQb19v
42568221380,Apple iPhone 17 Pro Max 256GB Chính hãng ZP/A,"37,9tr",10k+,Viettel Store- AAR ,4%,₫1.515.600,https://shopee.vn/product/308461157/42568221380,https://s.shopee.vn/1BJwbZWZnA
28032850215,Apple iPad A16 11 inch 2025 Wifi 128GB,"10,1tr",10k+,Apple Flagship Store,4%,₫404.000,https://shopee.vn/product/88201679/28032850215,https://s.shopee.vn/110WPGXD89
53304499944,(Tặng Remote) Gậy chụp ảnh Selfie 4 chân A14 1M8 điều khiển từ xa có phân loại đèn trợ sáng Tripod chụp ảnh SPO1,"155,0k",30k+,SELFIE HATEK,16%,₫24.800,https://shopee.vn/product/1687369570/53304499944,https://s.shopee.vn/qh6CxXqT8
22945060098,Đồng hồ thông minh Samsung Galaxy Watch 5 40mm GPS/LTE (esim),"1,6tr",160,Smartwatch Giá Tốt,4%,₫62.400,https://shopee.vn/product/45451234/22945060098,https://s.shopee.vn/gNg0eYTo7
29841314383,Apple iPhone 17 256GB Chính hãng ZP/A,"24,4tr",10k+,Viettel Store- AAR ,4%,₫975.600,https://shopee.vn/product/308461157/29841314383,https://s.shopee.vn/1qZdOnU2RM
54304168230,Máy tính bảng OPPO Pad 5 8GB/256GB - Hàng chính hãng bảo hành 18 tháng,"14,0tr",78,OPPO Official Store,7%,₫979.300,https://shopee.vn/product/25452983/54304168230,https://s.shopee.vn/1gGDCUUfmL
48500941449,Toàn năng 4 dây sạc nhanh｜Pin dự phòng 20000mAh dung lượng lớn Đèn LED báo phần trăm Thiết yếu cho chơi game và du lịch,"356,0k",14,Cửa hàng bán buôn hàng điện tử,54%,₫192.240,https://shopee.vn/product/1654674476/48500941449,https://s.shopee.vn/1Vwn0BVJ7K
57255317015,Aolon GTR 3 Dày 8.8mm | Màn hình AMOLED 1.43 inch | IP68 | Tập thể dục lành mạnh AOD | Đồng hồ nữ,"849,0k",358,AOLON,12%,₫101.880,https://shopee.vn/product/1542481969/57255317015,https://s.shopee.vn/1LdMnsVwSJ
56658374537,"Điện Thoại OPPO Find X9 - LikeNew Full Phụ Kiện, Bảo Hành 12 Tháng Lỗi 1 Đổi 1 Trong 30 Ngày Đầu, Dimensity 9500","15,3tr",5,Thuanphatsmartphone 75,8%,₫1.226.000,https://shopee.vn/product/1779265991/56658374537,https://s.shopee.vn/2VpKC1RV5Y
48953121232,Máy tính bảng Lenovo Y700 Gen 4 Snap 8 Elite 99% fullbox,"12,7tr",44,Trần Dũng Tablet,8%,₫1.016.000,https://shopee.vn/product/1659857526/48953121232,https://s.shopee.vn/2LVtziS8QX
25967371602,"Quạt Mini Tích Điện Để Bàn Cực Mát, Quạt Tích Điện Mini Kẹp Bàn, Quạt Kẹp Xoay 720 độ Chắc Chắn Cho Dân Văn Phòng Hàng Đ","75,0k",5k+,quycuc68,11%,₫8.250,https://shopee.vn/product/1025928968/25967371602,https://s.shopee.vn/2BCTnPSllW
40064156032,"Kiumo đồng hồ thông minh trẻ em 4G GPS,gọi video HD,750mAh,chống nước,SIM,SOS,RAM 2+16GB,kèm dây đeo & ốp silicone","959,0k",608,Kiumo.Baby,16%,₫153.440,https://shopee.vn/product/1523487171/40064156032,https://s.shopee.vn/20t3b6TP6V
